oj,id,type
CF,1856,individual
VJ,573796,individual
CF,1859,individual
VJ,575430,individual
CF,1860,individual
AC,abc315,individual
VJ,576703,individual
CF,1864,individual
VJ,578171,individual
CF,1863,individual
CF,1861,individual
AC,abc318,individual
CF,1872,individual
